Ecru,Ecru/off-white,#F0EADA
3852,Straw - Very Dark,#CD9D37
3853,Autumn Gold - Dark,#F29746
3854,Autumn Gold - Medium,#F2AF68
3855,Autumn Gold - Light,#FAD396
3856,Mahogany - Ultra Very Light,#FFD3B5
3857,Rosewood - Dark,#68251A
3858,Rosewood - Medium,#964A3F
3859,Rosewood - Light,#BA8B7C
3860,Cocoa,#7D5D57
3861,Cocoa - Light,#A68881
3862,Mocha Beige - Dark,#8A6E4E
3863,Mocha Beige - Medium,#A4835C
3864,Mocha Beige - Light,#CBB69C
3865,Winter White,#F9F7F1
3866,Mocha Brown - Ultra Very Light,#FAF6F0
3880,Shell Pink - Light,ERROR
3881,Green - Light,ERROR
3882,Beige Brown - Dark,ERROR
3883,Orange Spice - Light,ERROR
3884,Ash Gray - Very Light,ERROR
3885,Baby Blue - Very Dark,ERROR
3886,Mauve - Very Dark,ERROR
3887,Lavender - Very Dark,ERROR
3888,Antique Violet - Dark,ERROR
3889,Lemon - Light,ERROR
3890,Peacock Blue - Light,ERROR
3891,Electric Blue - Dark,ERROR
3892,Tangerine,ERROR
3893,Beige Brown - Ultra Very Light,ERROR
3894,Parrot Green - Light,ERROR
3895,Beaver Gray - Dark,ERROR
48,Variegated - Baby Pink,ERROR
51,Variegated - Burnt Orange,ERROR
52,Variegated - Violet,ERROR
53,Variegated - Steel Grey,ERROR
67,Variegated - Baby Blue,ERROR
69,Variegated - Terra Cotta,ERROR
90,Variegated - Yellow,ERROR
92,Variegated - Avocado,ERROR
93,Variegated - Blue Haze,ERROR
94,Variegated - Khaki Green,ERROR
99,Variegated - Mauve,ERROR
105,Variegated - Tan/Brown,ERROR
106,Variegated - Coral,ERROR
107,Variegated - Carnation,ERROR
111,Variegated - Mustard,ERROR
115,Variegated - Garnet,ERROR
121,Variegated - Delft Blue,ERROR
125,Variegated - Seafoam Green,ERROR
E5200,Metallic - White,ERROR
E130,Metallic - Gemstones,ERROR
E131,Metallic - Holiday Sparkle,ERROR
E133,Metallic - Midnight Madness,ERROR
E135,Metallic - Golden Dawn,ERROR
E136,Metallic - Emerald Isle,ERROR
E138,Metallic - Caribbean Ripples,ERROR
E140,Metallic - Carnival Fun,ERROR
E141,Metallic - All that Jazz,ERROR
E144,Metallic - Majestic Metals,ERROR
E146,Metallic - Tropical Delight,ERROR
E148,Metallic - Purple Essence,ERROR
E150,Metallic - Deep Water Blue,ERROR
E152,Metallic - Pink Shimmer,ERROR
E154,Metallic - Opalescent Rays,ERROR
E155,Metallic - Amethyst,ERROR
E168,Metallic - Silver,ERROR
E211,Metallic - Lilac,ERROR
E301,Metallic - Copper,ERROR
E310,Metallic - Ebony,ERROR
E316,Metallic - Pink Amethyst,ERROR
E317,Metallic - Titanium,ERROR
E321,Metallic - Red Ruby,ERROR
E334,Metallic - Blue Topaz,ERROR
E415,Metallic - Pewter,ERROR
E436,Metallic - Golden Oak,ERROR
E677,Metallic - White Gold,ERROR
E699,Metallic - Green Emerald,ERROR
E703,Metallic - Light Green Emerald,ERROR
E718,Metallic - Pink Garnet,ERROR
E746,Metallic - Cream,ERROR
E747,Metallic - Baby Blue,ERROR
E815,Metallic - Dark Red Ruby,ERROR
E818,Metallic - Soft Pink,ERROR
E825,Metallic - Blue Sapphire,ERROR
E898,Metallic - Dark Oak,ERROR
E966,Metallic - Lime,ERROR
E967,Metallic - Soft Peach,ERROR
E3685,Metallic - Rosewood,ERROR
E3747,Metallic - Sky Blue,ERROR
E3821,Metallic - Light Gold,ERROR
E3837,Metallic - Purple Ruby,ERROR
E3843,Metallic - Light Blue Sapphire,ERROR
E3849,Metallic - Aquamarine Blue,ERROR
E3852,Metallic - Dark Gold,ERROR
E980,Neon - Neon Yellow,ERROR
E990,Neon - Neon Green,ERROR
E985,Fluorescents - Lemon Zest,ERROR
E987,Fluorescents - Key Lime Splash,ERROR
E995,Fluorescents - Melon Blast,ERROR
E1010,Fluorescents - Tropical Pink,ERROR
E1020,Fluorescents - Bright Orange,ERROR
E1024,Fluorescents - Tangerine Zing,ERROR
E1026,Fluorescents - Blueberry Blast,ERROR
E1040,Fluorescents - Bright Blue,ERROR
E1050,Fluorescents - Luminous Lavender,ERROR
E1055,Fluorescents - Raspberry Rush,ERROR
E940,Glow-In-The-Dark,ERROR
5282,Metallic Pearl - Gold,ERROR
5283,Metallic Pearl - Silver,ERROR
4010,Variations - Winter Sky,ERROR
4015,Variations - Stormy Skies,ERROR
4020,Variations - Tropical Waters,ERROR
4025,Variations - Caribbean Bay,ERROR
4030,Variations - Monet's Garden,ERROR
4040,Variations - Water Lillies,ERROR
4045,Variations - Evergreen Forest,ERROR
4050,Variations - Roaming Pastures,ERROR
4060,Variations - Weeping Willow,ERROR
4065,Variations - Morning Meadow,ERROR
4070,Variations - Autumn Leaves,ERROR
4075,Variations - Wheat Fields,ERROR
4077,Variations - Morning Sunshine,ERROR
4080,Variations - Daffodil Fields,ERROR
4090,Variations - Golden Oasis,ERROR
4100,Variations - Summer Breeze,ERROR
4110,Variations - Sunrise,ERROR
4120,Variations - Tropical Sunset,ERROR
